,total_per_1M,deaths_per_1M,tests_per_1M,deathsPerTotal,iso_alpha,Population_Below_Poverty_National,mean_BMI_men,BMIabove30_men,BMIabove35_men,BMIbelow18_men,mean_BMI_women,BMIabove30_women,BMIabove35_women,BMIbelow18_women,Gross_Domestic_Product_Per_Capita,Prevalence_Child_Malnutrition,Under_Five_Mortality_Rate,Safely_Managed_Drinking_Water_Services,Access_To_Electricity,Renewable_Energy_Consumption,Ambient_Air_Pollution,Carbon_Dioxide_Emissions,Internet_Use,Married_By_Age_18,Women_In_Parliaments,Country,Health_Expenditure_per_Capita,Prevalence_Undernourishment,Adult_Literacy_Rate_Female_2008_2017,Labor_Force_Participation_Female,Labor_Force_Participation_Male,Problems_Accessing_Healthcare_Poorest_MRV,Employed_Children_Total,Teenage_Mothers_Richest_MRV,Life_Expectancy_At_Birth,Population,physician_density,publication_frequency,clinical_trial_frequency
10,8103.0,663.0,25694.0,0.08182154757497223,ECU,23.0,26.768720946504803,0.15445927357647102,0.0263945042170505,0.008515587077920229,28.066278897096897,0.256432375919443,0.0792714483367735,0.012250360358098001,2.0,24.0,14.0,74.0,100.0,14.0,13.0,3.0,54.0,,38.0,Ecuador,505.0,19.0,93.0,57.0,84.0,,6.0,,77.0,17.0,0.11764705882352941,7,10
11,11734.0,696.0,26421.0,0.0593148116584285,BOL,35.0,25.4218734923576,0.150710542822057,0.0230041921327831,0.012916631337214999,27.9267288480722,0.265583154265935,0.0891502205387665,0.0129276643685796,3.0,16.0,27.0,,93.0,18.0,22.0,2.0,40.0,,53.0,Bolivia,213.0,33.0,89.0,57.0,82.0,95.0,14.0,8.0,69.0,11.0,0.09090909090909091,3,2
12,26913.0,563.0,118720.0,0.020919258350982798,PAN,22.0,26.3322515080018,0.18484851665739802,0.0459906556823969,0.0163436063542392,27.8450740521701,0.28689140697627696,0.10545908617133301,0.0244267002009188,4.0,,15.0,,93.0,21.0,14.0,2.0,54.0,26.0,18.0,Panama,1041.0,28.0,93.0,53.0,81.0,,6.0,,78.0,4.0,0.5,4,1
13,5753.0,93.0,161681.0,0.016165478880584044,KAZ,3.0,26.4864906275781,0.195682181225138,0.0425076199264799,0.016891576528628,26.6654663241703,0.236484466554447,0.0863848517221622,0.0341810829072554,3.0,8.0,10.0,,1.0,2.0,20.0,14.0,75.0,6.0,27.0,Kazakhstan,262.0,6.0,100.0,65.0,77.0,,4.0,,73.0,18.0,0.16666666666666666,6,4
14,5316.0,185.0,19296.0,0.03480060195635817,GTM,59.0,25.8305953085431,0.156666509501624,0.0310865671363294,0.0148222598988065,27.491131193572002,0.27454319743968,0.0940430147673895,0.0168580822861359,1.0,47.0,26.0,7.0,92.0,64.0,29.0,1.0,35.0,30.0,13.0,Guatemala,241.0,21.0,76.0,41.0,85.0,85.0,7.0,11.0,74.0,17.0,0.058823529411764705,3,3
15,3220.0,20.0,38037.0,0.006211180124223602,NPL,25.0,22.6225835819827,0.0279904103298762,0.0015072669567400099,0.155589529327931,22.549719009634,0.0564098629338984,0.00942429806138785,0.171704318903273,6.0,36.0,32.0,27.0,10.0,85.0,79.0,0.0,20.0,40.0,3.0,Nepal,46.0,22.0,49.0,82.0,90.0,94.0,43.0,6.0,71.0,28.0,0.03571428571428571,70,6
16,8647.0,77.0,139512.0,0.00890482248178559,CZE,10.0,28.1888791750385,0.273212657911343,0.062336710755251004,0.00202698356133302,26.4361099728937,0.264991175087165,0.09511840105328999,0.0153188169262389,4.0,,3.0,98.0,1.0,15.0,19.0,9.0,77.0,,2.0,Czech Republic,1322.0,3.0,,53.0,69.0,,,,79.0,11.0,0.36363636363636365,2,3
17,59.0,3.0,111163.0,0.05084745762711865,CHN,3.0,24.2764390787924,0.0611174923595005,0.00630872045059596,0.0383041226328333,23.5919976432627,0.0683133795814156,0.00990717707450591,0.0605890679968191,6.0,8.0,9.0,,1.0,12.0,56.0,8.0,53.0,,24.0,China,398.0,16.0,93.0,62.0,83.0,,,,76.0,1393.0,0.0014357501794687725,920,217
18,16351.0,201.0,48001.0,0.012292826126842396,CRI,21.0,26.909500704377898,0.218308081245724,0.0584504465612466,0.010370577250839,28.105008149156,0.31530944157451396,0.12230833793142099,0.0211675491813511,2.0,,9.0,90.0,1.0,39.0,19.0,2.0,66.0,21.0,35.0,Costa Rica,889.0,5.0,98.0,45.0,81.0,,1.0,,80.0,5.0,0.2,4,3
19,8626.0,93.0,209222.0,0.01078135868305124,BLR,6.0,26.6299479994914,0.229123275136731,0.0546688466859417,0.00710810469938053,26.9123745306979,0.27336911803228503,0.0983466054545097,0.0196613707735466,2.0,,3.0,94.0,1.0,7.0,20.0,7.0,71.0,3.0,35.0,Belarus,318.0,3.0,99.0,58.0,66.0,,2.0,,74.0,10.0,0.4,1,10
20,699.0,11.0,11419.0,0.015736766809728183,ETH,24.0,20.110439606297604,0.0198086088715883,0.00203966785519009,0.16749424907618998,21.1197067115857,0.0725356314706245,0.0156239352330962,0.141766110578043,8.0,38.0,55.0,2.0,43.0,92.0,50.0,0.0,15.0,4.0,39.0,Ethiopia,28.0,52.0,,74.0,90.0,85.0,26.0,6.0,66.0,109.0,,12,1
21,287.0,5.0,2597.0,0.017421602787456445,NGA,45.0,22.6485581488024,0.0482237797166677,0.0120405678764931,0.105921810889776,24.0324019873879,0.136487599668329,0.0484256950131188,0.0928947993862079,1.0,42.0,84.0,,16.0,79.0,24.0,0.0,4.0,76.0,17.0,Niger,23.0,22.0,23.0,67.0,91.0,79.0,49.0,24.0,60.0,22.0,,65,18
